back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis,label
117.4,111.1,76.2,74.4,83.9,91.1,106.4,103.3,1.6,0
118.5,110.7,79.5,76.6,83.8,90.2,106.9,103,1.6,0
107.9,107.7,73.7,77.9,77.6,96.2,107.6,103.4,1.7,0
100.4,103.1,70.8,76.9,75,99.1,108.8,102.7,1.7,0
101.2,103.1,70,77.8,74.4,99.7,108,104.4,1.7,0
97.4,97.5,64.4,69.5,76.3,97.9,107.2,102.7,1.7,0
92.8,94.2,59.2,64.7,75.8,98.3,106.1,101.9,1.7,0
89.6,93.4,55.1,63.2,72.8,101.5,105.9,101.7,1.7,0
81.9,86.6,47.1,55.5,67.8,105.9,104.8,98.6,1.8,0
78.4,76.2,42.8,44.3,80.4,93.6,104.4,94.7,1.7,0
73.8,70.6,39.2,38.5,86.8,87.4,103.7,93.1,1.7,0
73.2,70.2,38.3,37.7,87,87.1,103.6,93.4,1.7,0
73.9,71.2,35.1,34.8,87.3,86.8,102.6,93.4,1.7,0
73.5,71.2,32.4,32,89.1,85,101,93.8,1.8,0
74.7,73.5,34,35.2,82.4,91.4,101.5,95.3,1.8,0
74.7,74,33.5,36.4,77.6,96.1,102.5,95,1.8,0
72.9,72.8,30.7,33.4,77.1,96.9,102.3,94.2,1.8,0
73.5,73,29.8,31.2,82,92,102,93.7,1.8,0
74.8,73.5,28.9,29.1,88.8,85.1,100.4,94.4,1.8,0
72.4,72.8,26.9,28.2,83.4,90.3,99.3,94.7,1.9,0
72.8,72.4,27.2,27.1,89.8,83.9,98.4,96.1,1.9,0
73.4,72.8,26.2,26.5,90.1,83.5,97.6,96.8,1.9,0
73.3,73.5,25.6,26.8,85.4,87.9,97.2,97.6,1.9,0
73.6,74,25.6,27.3,82.7,90.3,96.8,98.3,1.9,0
74.3,75.1,25.9,27.1,85.6,87.4,96.7,98.7,1.9,0
