back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,label
117.7,110.5,76.6,74.6,82.8,92.2,107.5,102,0
117.9,109.9,79.2,76.7,82.7,91.4,107.6,102,0
108.6,108.7,74.7,79.7,76.5,97.4,108.2,103.2,0
102.7,104.5,72.9,78.6,75.3,98.7,108.6,103.3,0
103.1,104.1,71.9,78.3,75.7,98.4,107.8,104.5,0
101.9,101.9,70.1,74.8,77.6,96.6,106.9,104.7,0
93.4,96.6,59.9,67.8,73.7,100.6,106.2,102.9,0
88.2,93.4,54.5,63.8,70.9,103.4,105.8,101.7,0
80.9,86.8,46.6,55.9,66.3,107.6,104.9,98.6,0
77.7,76.2,42.1,44.5,78.8,95.3,104.3,94.8,0
73.3,70.7,39.1,38.9,86,88,103.1,93.7,0
70.9,69.1,37.6,37.5,86.5,87.5,102,94.7,0
71.5,70.1,33.9,33.9,87.1,87.1,100.7,94.8,0
72.1,70,33.8,33.2,89.6,84.7,100.2,95.6,0
72.5,72.4,32.6,34.9,80,94.1,100.4,96.3,0
72.2,72.1,32.4,35.1,78.4,95.6,101.3,95.7,0
70.8,71.1,30,32.6,77.6,96.7,101.4,94.7,0
71.8,71.6,29.5,30.5,83.6,90.5,100.9,94.2,0
72.7,71.8,29.1,29.1,89,85,99.6,95.1,0
70.9,72,26.3,27.6,82.9,90.9,98.5,95.2,0
71.7,71.8,26.9,27,88.6,85.1,97.3,96.9,0
72.8,72.4,26.1,26.3,89.8,83.9,96.9,97.4,0
74.5,75.6,25.4,26.7,84.6,88.8,96.8,97.9,0
72.8,74.4,25.3,26.8,83.3,89.8,96.4,98.4,0
73.8,74.9,25.6,26.9,84.7,88.3,96,99.2,0
74.6,76.7,24.6,25.6,86.5,86.2,94.8,99.1,0
73.7,76.1,23.9,25.4,83.7,89,94.3,99.6,0
72.7,75.5,22.4,23.5,85.4,87.4,93.5,98.9,0
71.6,73.7,21.4,22,90.8,82.4,93.2,98.7,0
68.8,71,20.4,20.6,94.6,78.8,92.2,98.8,0
63.8,65.8,20,20.1,93.7,79.7,91.9,99,1
60.8,62.3,19.1,19.5,92.4,81.1,90.9,99.5,1
59.7,61.6,18.7,19,91.1,82.4,90.5,99.7,1
56.7,59.1,18.4,18.8,85.7,87.6,90.3,99.8,1
