back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis,label
153.8,148.4,156.9,150.8,81.7,81.1,103.8,111.5,1.6,0
154,147.5,156,150.6,81.2,81.1,104,111.7,1.7,0
153.8,147,154.9,150.4,80.6,81,104.2,112.1,1.7,0
153.6,146.8,154.5,149.8,80.4,80.9,104.5,112.5,1.7,0
154,146.5,154.5,149.2,80.3,81,104.4,113.2,1.7,0
153.6,146.7,153.8,148.9,79.7,80.9,104.6,113.3,1.7,0
153.4,146.5,153.2,148.6,79.1,80.9,104.8,113.4,1.7,0
153,146.6,152.8,148.2,78.5,81,105,113.5,1.7,0
152.8,146.1,152.6,147.2,78.3,80.7,105.1,114.1,1.7,0
152.3,145.7,151.8,146.4,78.1,80.2,105.8,114.3,1.7,0
151.6,145.1,151.1,145.7,77.9,79.9,106.4,114.7,1.7,0
150.7,144.6,150.1,144.7,77.8,79.4,107.1,115.2,1.7,0
149.9,144,148.7,143.8,77.4,78.7,108,115.7,1.8,0
149.1,143.4,147.7,142.8,77.1,78.3,108.5,116.4,1.8,0
148.4,143.3,146.4,142.4,76.6,78,109.2,116.5,1.8,0
148,143.2,145.8,142,76.3,77.7,109.7,116.5,1.8,0
147.3,143.3,144.7,141.3,75.4,77.5,110.1,116.7,1.8,0
146.4,143,143.9,140.8,75.3,77.2,110.7,117.1,1.8,0
145.6,142.7,142.6,140.1,74.8,76.7,111.2,117.6,1.8,0
144.6,142.5,141.2,139.2,74.1,76.3,111.9,118.1,1.9,0
143.6,142,139.2,138.2,73.3,75.8,112.7,118.9,1.9,0
142.8,141.7,138,137,72.6,75.3,113.4,119.5,1.9,0
142.2,141.3,137.1,135.5,72.2,74.6,114,120.2,1.9,0
141.7,140.9,136.6,134.6,72,74.4,114.5,120.7,1.9,0
141.4,140.9,136.1,134.1,71.7,74.1,114.7,120.8,1.9,0
140.5,140.6,135,133.6,71.3,74,115.5,121.1,1.9,0
140,140,134.4,133.1,71.2,73.8,115.8,121.7,1.9,0
139.4,139.6,134,132.5,71.2,73.7,116.3,122.1,1.9,0
139,139.2,133.7,132.4,71.3,73.7,116.7,122.2,1.9,0
138.5,138.7,133.2,131.9,71.4,73.4,117.1,122.5,1.9,0
137.9,138,132.7,131.2,71.3,73.3,117.7,123,1.9,1
137.5,137.6,132.5,130.8,71.3,73.4,118.2,123.2,1.9,1
136.9,136.9,132.1,130,71.2,73.4,118.6,123.9,1.9,1
136.3,135.8,131.4,128.8,70.9,73.3,119,125,1.9,1
136.1,134.5,130.9,127.4,70.5,72.7,119,125.9,1.9,1
135.8,133.8,130.3,126.5,70.1,72.3,119.2,126.4,1.9,1
135.2,133,129.5,125.7,69.8,72.2,119.9,126.9,1.9,1
134.7,133,128.4,125.5,69.2,72,120.3,127,1.9,1
134.1,132.6,126.9,124.8,68.3,71.8,120.9,127.4,1.9,1
133.5,131.7,125.9,123.9,67.8,71.8,121.4,128.4,1.9,1
132.3,130.8,124.6,122.6,67.5,71.6,122.6,129.3,1.9,1
130.1,129.6,123.1,121.1,67.6,71.6,124.4,130.6,1.9,1
127.9,128.2,121.3,119.6,67.5,71.6,126.5,131.8,1.9,1
126.4,126.6,119.7,118.1,67.3,71.5,128.1,133,1.9,1
124.3,124.6,117.7,116.1,67.3,71.5,130.2,134.8,1.9,1
122.3,122.2,115.5,114.1,67.2,71.5,132.5,136.6,1.9,1
121.8,121.5,114.9,113.7,67.2,71.5,133,136.9,1.9,1
121,120.7,114.3,113.2,67.2,71.5,133.9,137.4,1.9,1
120.5,119.9,113.8,112.5,67.3,71.4,134.2,138.3,1.9,1
119.6,118.2,113.1,110.6,67.8,71.3,135.3,140.1,1.9,1
119.2,116.3,113.6,109.1,68.9,71.5,135.7,141.9,1.9,1
117.9,114.6,112.5,107.6,69,71.5,136.9,143.5,1.9,1
116.8,112.7,111.5,106.2,69.4,71.6,138.1,145.2,1.9,1
114.6,109.8,109.7,103.8,70.1,71.8,140.6,147.8,1.9,1
109.9,106.5,105.9,100.4,70.6,72.4,145.3,151.4,1.9,1
106.6,103.9,103,98.3,70.8,72.6,148.4,153.8,1.9,1
101.1,99.8,98.1,95,71.3,73.6,153.9,158,1.9,1
94.5,96,91.8,91.7,71.3,74.6,160.4,162.1,1.9,1
91.4,94.5,88.8,90.7,71.1,75.2,163.4,163.5,1.9,1
88.9,92.6,86.3,89.4,71,75.8,165.6,165.4,1.9,1
86.4,90.6,84,87.8,71.2,76,168.3,167.1,1.8,2
82.8,87.8,80.5,84.9,71.5,75.8,172.1,169.8,1.8,2
79.9,85.9,77.6,83.3,71.6,75.8,175.5,171,1.8,2
77.6,83.6,75.3,81.1,71.5,75.6,177.5,173.3,1.9,2
73.6,80.5,70.7,77.7,70.9,75.4,178.6,176.5,1.9,2
71.7,78.7,68.5,75.8,70.3,75.2,177.1,178.3,1.9,2
69.9,77.3,66.7,74.5,69.8,75.3,175.8,179.8,1.9,2
67.9,74.8,64.9,72.1,70,75.3,174.1,177.6,1.9,2
66,71.9,62.5,69.3,69.7,75.1,172.3,174.7,1.9,2
65.6,71.9,61.7,69,69.2,74.7,171.8,175.1,2,2
66.3,73.7,62.5,70.3,68.8,74.1,172.6,177.3,2,2
63.4,71.3,59.5,67.8,68.8,73.8,169.4,175.3,2,2
59.5,68.7,55.4,64.8,68.6,73.6,165,172.9,2,2
57.3,67.2,53.5,63,68.6,73.3,162.8,171.8,2,2
54.7,65.9,51,61.5,68.7,73,159.7,171.2,2,2
52.6,65.1,49,59.8,68.8,72.3,157.2,170.5,2,2
52.3,65,48.6,59,68.7,71.3,156.9,170.7,2.1,2
